ID	Length	SRX6637057	SRX6637058	SRX6637059	SRX6637060
ENSG00000251455	20999	41.0	40.0	475.0	380.0
ENSG00000154548	14999	14568.0	15036.0	1380.0	2156.0
ENSG00000161057	3999	4.0	5.0	43.0	23.0
ENSG00000259618	15499	472.0	460.0	659.0	632.0
ENSG00000138443	5499	19.0	7.0	54.0	32.0
ENSG00000081307	7999	126.0	119.0	116.0	145.0
ENSG00000252847	6999	15.0	13.0	54.0	105.0
ENSG00000248866	4499	29.0	36.0	42.0	22.0
ENSG00000167380	7499	15.0	18.0	84.0	107.0
ENSG00000189241	6499	84.0	91.0	188.0	174.0
ENSG00000141367	10499	1131.0	1148.0	583.0	468.0
ENSG00000230424	6499	50.0	39.0	203.0	234.0
ENSG00000157216	9999	513.0	446.0	491.0	457.0
ENSG00000254756	3999	178.0	136.0	171.0	209.0
ENSG00000175130	7499	756.0	836.0	612.0	681.0
ENSG00000115486	8499	5249.0	5535.0	7697.0	7872.0
ENSG00000251414	4499	67.0	76.0	99.0	133.0
ENSG00000176845	7999	5.0	9.0	1000.0	787.0
ENSG00000186432	8999	74.0	58.0	699.0	444.0
ENSG00000100479	10999	344.0	292.0	497.0	351.0
ENSG00000156009	3999	0.0	0.0	40.0	36.0
ENSG00000139218	3999	13.0	9.0	63.0	46.0
ENSG00000166405	4499	81.0	78.0	36.0	49.0
ENSG00000117477	18999	990.0	1030.0	1387.0	1481.0
ENSG00000265306	5999	11.0	8.0	47.0	56.0
ENSG00000177370	10999	385.0	271.0	683.0	577.0
ENSG00000131724	4999	9.0	15.0	51.0	111.0
ENSG00000220695	4499	47.0	66.0	40.0	27.0
ENSG00000259884	4999	179.0	94.0	67.0	67.0
ENSG00000058673	4499	76.0	113.0	108.0	137.0
ENSG00000267458	5999	10417.0	9830.0	13811.0	13507.0
ENSG00000273267	8499	68.0	51.0	37.0	69.0
ENSG00000149483	24499	150.0	147.0	639.0	535.0
ENSG00000005884	4999	375.0	360.0	162.0	1101.0
ENSG00000221060	38999	1989.0	2079.0	3676.0	3732.0
ENSG00000267030	10499	546.0	387.0	902.0	910.0
ENSG00000136159	10999	87.0	75.0	230.0	197.0
ENSG00000175220	4999	857.0	822.0	908.0	968.0
ENSG00000167232	10999	1.0	1.0	285.0	222.0
ENSG00000159267	6499	303.0	327.0	134.0	151.0
ENSG00000204533	4999	84.0	60.0	51.0	49.0
ENSG00000200278	4999	285.0	289.0	425.0	432.0
ENSG00000114650	8999	2932.0	2231.0	1230.0	1102.0
ENSG00000034510	27493	15.0	12.0	889.0	8981.0
ENSG00000273486	6499	11.0	25.0	133.0	108.0
ENSG00000226479	3999	376.0	384.0	438.0	414.0
ENSG00000170561	4499	87.0	109.0	318.0	332.0
ENSG00000272170	4999	34.0	26.0	42.0	47.0
ENSG00000261337	3999	56.0	33.0	78.0	80.0
ENSG00000184661	3999	70.0	65.0	51.0	65.0
ENSG00000222460	12499	2816.0	2666.0	759.0	898.0
ENSG00000168259	28999	1722.0	1591.0	1588.0	1870.0
ENSG00000131652	4499	54.0	29.0	58.0	90.0
ENSG00000102805	16499	518.0	534.0	391.0	459.0
ENSG00000255252	6499	217.0	165.0	117.0	310.0
ENSG00000107185	7499	139.0	143.0	177.0	165.0
ENSG00000241634	7499	52.0	60.0	49.0	46.0
ENSG00000162006	8999	2249.0	1913.0	2482.0	2307.0
ENSG00000266072	18499	14.0	18.0	550.0	544.0
ENSG00000270067	28999	343.0	352.0	1044.0	1052.0
ENSG00000159259	3999	6.0	1.0	41.0	20.0
ENSG00000196652	14499	99.0	107.0	455.0	431.0
ENSG00000100568	29499	236.0	224.0	749.0	952.0
ENSG00000263182	13999	30.0	49.0	243.0	206.0
ENSG00000169495	3999	306.0	317.0	225.0	301.0
ENSG00000158109	7499	265.0	218.0	111.0	165.0
ENSG00000238596	7499	15.0	10.0	159.0	150.0
ENSG00000182310	4499	8.0	8.0	60.0	35.0
ENSG00000185615	6999	515.0	496.0	237.0	263.0
ENSG00000054523	16691	109.0	87.0	528.0	475.0
ENSG00000163898	3999	0.0	0.0	17.0	36.0
ENSG00000135148	20499	586.0	455.0	729.0	735.0
ENSG00000001630	7999	235.0	199.0	153.0	216.0
ENSG00000159579	4499	10.0	12.0	193.0	187.0
ENSG00000267342	4999	278.0	196.0	188.0	234.0
ENSG00000153560	6499	138.0	164.0	105.0	126.0
ENSG00000161011	7499	361.0	257.0	2537.0	2722.0
ENSG00000236255	5999	22.0	40.0	398.0	355.0
ENSG00000145390	7499	308.0	444.0	417.0	419.0
ENSG00000088888	10499	1548.0	1705.0	828.0	850.0
ENSG00000110721	11999	561.0	530.0	531.0	631.0
ENSG00000107404	10499	1024.0	792.0	329.0	335.0
ENSG00000123607	10999	60.0	61.0	633.0	692.0
ENSG00000214465	4999	9.0	11.0	52.0	93.0
ENSG00000236383	9999	375.0	421.0	508.0	655.0
ENSG00000087086	4499	1966.0	1852.0	1646.0	3477.0
ENSG00000053371	10999	303.0	332.0	557.0	723.0
ENSG00000260359	8499	30.0	45.0	203.0	189.0
ENSG00000140829	4499	48.0	46.0	56.0	107.0
ENSG00000169026	6999	184.0	101.0	123.0	136.0
ENSG00000131238	8999	4511.0	4980.0	4038.0	4208.0
ENSG00000215712	7499	18.0	12.0	116.0	82.0
ENSG00000224621	13499	93.0	66.0	530.0	380.0
ENSG00000135835	12499	28.0	10.0	282.0	273.0
ENSG00000123636	3999	107.0	104.0	228.0	251.0
ENSG00000163704	6499	119.0	152.0	360.0	321.0
ENSG00000165516	4999	312.0	355.0	229.0	219.0
ENSG00000251168	12999	5.0	10.0	408.0	333.0
ENSG00000131153	5999	756.0	713.0	128.0	198.0
ENSG00000237513	8499	9.0	7.0	356.0	333.0
ENSG00000164597	32999	319.0	295.0	546.0	641.0
ENSG00000185127	4999	257.0	267.0	130.0	243.0
ENSG00000196712	9499	8.0	8.0	76.0	86.0
ENSG00000080815	19499	30.0	16.0	440.0	418.0
ENSG00000138758	22999	10795.0	13695.0	9136.0	9720.0
ENSG00000134873	3999	118.0	123.0	63.0	64.0
ENSG00000229659	7999	26.0	34.0	146.0	99.0
ENSG00000145439	7999	1.0	8.0	65.0	69.0
ENSG00000227667	5499	0.0	0.0	36.0	34.0
ENSG00000188313	21999	186.0	215.0	858.0	848.0
ENSG00000169291	4999	356.0	323.0	268.0	396.0
ENSG00000168924	10999	105.0	67.0	711.0	729.0
ENSG00000137877	6499	165.0	134.0	156.0	151.0
ENSG00000165905	7499	289.0	225.0	220.0	286.0
ENSG00000205707	3999	32.0	11.0	37.0	57.0
ENSG00000156261	7499	245.0	264.0	140.0	146.0
ENSG00000260276	8499	110.0	93.0	364.0	270.0
ENSG00000116062	9499	225.0	207.0	182.0	235.0
ENSG00000107581	5499	164.0	198.0	169.0	192.0
ENSG00000142279	6499	16.0	18.0	71.0	98.0
ENSG00000263235	5499	5.0	6.0	72.0	69.0
ENSG00000008710	14999	848.0	716.0	923.0	936.0
ENSG00000170632	16499	274.0	252.0	499.0	524.0
ENSG00000105618	5999	2.0	7.0	87.0	95.0
ENSG00000124486	5499	18.0	13.0	73.0	98.0
ENSG00000266324	24499	13625.0	12963.0	2849.0	3559.0
ENSG00000006114	4999	520.0	583.0	889.0	968.0
ENSG00000100296	4499	55.0	60.0	45.0	43.0
ENSG00000120129	4499	424.0	423.0	62.0	85.0
ENSG00000078124	7499	27.0	34.0	112.0	116.0
ENSG00000150403	5499	14.0	7.0	54.0	78.0
ENSG00000229539	4499	24.0	43.0	103.0	91.0
ENSG00000142235	13499	1317.0	1181.0	2436.0	2154.0
ENSG00000100147	6499	266.0	207.0	201.0	217.0
ENSG00000168676	5499	121.0	112.0	48.0	59.0
ENSG00000202343	11999	149.0	181.0	199.0	205.0
ENSG00000182319	3999	5.0	5.0	54.0	63.0
ENSG00000044115	12999	351.0	327.0	491.0	717.0
ENSG00000207590	8499	184.0	180.0	247.0	302.0
ENSG00000138600	5499	539.0	600.0	265.0	279.0
ENSG00000186714	8999	2321.0	2759.0	1024.0	1178.0
ENSG00000088766	16499	51.0	37.0	975.0	910.0
ENSG00000100196	13499	5579.0	5603.0	5020.0	5074.0
ENSG00000125148	6499	31.0	21.0	141.0	13634.0
ENSG00000261757	7999	57.0	30.0	140.0	185.0
ENSG00000270802	36499	1779.0	1368.0	3092.0	2781.0
ENSG00000165282	4499	107.0	151.0	91.0	79.0
ENSG00000253047	20499	191.0	204.0	1243.0	850.0
ENSG00000262136	7499	635.0	644.0	281.0	393.0
ENSG00000271973	10499	526.0	434.0	101.0	118.0
ENSG00000197763	4499	4.0	6.0	38.0	40.0
ENSG00000130724	7499	6452.0	6188.0	7068.0	7629.0
ENSG00000183060	5499	535.0	636.0	335.0	341.0
ENSG00000230532	3999	47.0	48.0	90.0	103.0
ENSG00000167900	3999	842.0	845.0	542.0	577.0
ENSG00000158805	14999	111.0	47.0	310.0	283.0
ENSG00000130270	3999	14.0	22.0	86.0	45.0
ENSG00000269305	6499	47.0	40.0	26.0	46.0
ENSG00000132612	13999	858.0	958.0	865.0	928.0
ENSG00000163481	3999	616.0	604.0	401.0	450.0
ENSG00000220785	8999	2044.0	2033.0	2258.0	2597.0
ENSG00000176142	25999	268.0	305.0	1435.0	1372.0
ENSG00000267007	5999	1021.0	758.0	918.0	803.0
ENSG00000180979	9499	157.0	186.0	274.0	217.0
ENSG00000141759	8499	1176.0	1180.0	626.0	648.0
ENSG00000272995	25999	3.0	4.0	481.0	427.0
ENSG00000007312	11999	0.0	0.0	122.0	127.0
ENSG00000201920	10999	13.0	20.0	1145.0	1016.0
ENSG00000077312	6999	7.0	5.0	430.0	478.0
ENSG00000145022	5999	45.0	44.0	178.0	141.0
ENSG00000123600	6499	168.0	176.0	97.0	82.0
ENSG00000105135	7999	429.0	363.0	93.0	104.0
ENSG00000219329	4999	1.0	0.0	51.0	34.0
ENSG00000224799	3999	57.0	114.0	42.0	41.0
ENSG00000269054	4499	17.0	21.0	38.0	50.0
ENSG00000160193	39553	335.0	196.0	1587.0	1018.0
ENSG00000132275	34499	302.0	293.0	1780.0	1731.0
ENSG00000257569	3999	350.0	378.0	248.0	250.0
ENSG00000136436	8999	68.0	71.0	214.0	322.0
ENSG00000269987	7999	993.0	824.0	1704.0	2093.0
ENSG00000100711	17499	645.0	444.0	1733.0	1465.0
ENSG00000225610	4999	81.0	48.0	119.0	138.0
ENSG00000167778	6999	206.0	160.0	131.0	115.0
ENSG00000186063	26145	1535.0	1583.0	1393.0	1519.0
ENSG00000136908	3999	25.0	28.0	149.0	133.0
ENSG00000096080	9499	31.0	21.0	263.0	296.0
ENSG00000224629	15499	447.0	290.0	325.0	344.0
ENSG00000214900	4499	1.0	0.0	50.0	23.0
ENSG00000235098	4499	0.0	0.0	37.0	43.0
ENSG00000180376	20499	645.0	748.0	591.0	765.0
ENSG00000186834	8499	23.0	9.0	204.0	263.0
ENSG00000254131	5999	31.0	58.0	96.0	110.0
ENSG00000235989	5999	316.0	293.0	159.0	174.0
ENSG00000007384	3999	134.0	128.0	34.0	79.0
ENSG00000077380	24999	389.0	392.0	1600.0	1458.0
ENSG00000231691	12499	3.0	5.0	318.0	244.0
ENSG00000146414	5499	4.0	15.0	58.0	67.0
ENSG00000188807	6999	12.0	24.0	107.0	109.0
ENSG00000227799	5499	134.0	91.0	152.0	115.0
ENSG00000130741	8499	728.0	872.0	582.0	714.0
ENSG00000116459	15999	89.0	72.0	590.0	526.0
ENSG00000270084	3999	2736.0	2969.0	2129.0	2532.0
ENSG00000123353	7499	478.0	517.0	579.0	580.0
ENSG00000048405	15499	43.0	68.0	804.0	606.0
ENSG00000162894	11999	2948.0	2269.0	986.0	1120.0
ENSG00000257410	8999	393.0	451.0	478.0	460.0
ENSG00000254907	8499	265.0	260.0	182.0	257.0
ENSG00000155256	6999	5.0	9.0	74.0	94.0
ENSG00000196152	5999	11427.0	12242.0	14860.0	13952.0
ENSG00000143799	5499	61.0	53.0	71.0	85.0
ENSG00000139190	10499	118.0	112.0	4315.0	4349.0
ENSG00000239486	3999	52.0	64.0	87.0	50.0
ENSG00000081985	16999	3259.0	3637.0	1475.0	1762.0
ENSG00000270948	6999	5.0	3.0	82.0	92.0
ENSG00000261159	5499	4.0	6.0	65.0	48.0
ENSG00000115419	36999	1025.0	1106.0	1678.0	1747.0
ENSG00000250722	3999	6.0	6.0	44.0	83.0
ENSG00000234450	5999	12.0	19.0	112.0	99.0
ENSG00000125885	6499	299.0	260.0	212.0	216.0
ENSG00000166143	7499	225.0	222.0	144.0	190.0
ENSG00000175906	4999	5.0	5.0	104.0	87.0
ENSG00000240494	5999	95.0	55.0	269.0	219.0
ENSG00000173992	10499	83.0	64.0	513.0	431.0
ENSG00000136122	14999	914.0	1081.0	715.0	865.0
ENSG00000230613	6999	470.0	442.0	284.0	298.0
ENSG00000132199	6499	326.0	264.0	479.0	454.0
ENSG00000182118	39999	888.0	958.0	1685.0	1588.0
ENSG00000215464	3999	1.0	4.0	13.0	27.0
ENSG00000253559	11499	431.0	469.0	408.0	548.0
ENSG00000164733	12999	1228.0	1252.0	1184.0	1478.0
ENSG00000254741	16999	3670.0	2656.0	4752.0	5309.0
ENSG00000212864	11499	802.0	467.0	591.0	685.0
ENSG00000231302	4499	0.0	0.0	51.0	36.0
ENSG00000138592	21999	101.0	140.0	643.0	580.0
ENSG00000145386	9999	448.0	438.0	230.0	231.0
ENSG00000204308	8499	618.0	600.0	205.0	177.0
ENSG00000134186	14999	69.0	54.0	354.0	260.0
ENSG00000119616	3999	70.0	66.0	63.0	80.0
ENSG00000249737	4499	0.0	0.0	92.0	44.0
ENSG00000088256	6499	245.0	228.0	454.0	439.0
ENSG00000173175	11999	74.0	73.0	208.0	170.0
ENSG00000243960	5499	61.0	53.0	137.0	176.0
ENSG00000123146	10999	1771.0	1588.0	684.0	792.0
ENSG00000257579	5499	124.0	97.0	90.0	99.0
ENSG00000175305	8499	183.0	195.0	171.0	188.0
ENSG00000267002	7999	74.0	81.0	110.0	115.0
ENSG00000114859	5999	124.0	116.0	63.0	92.0
ENSG00000224167	9499	16.0	22.0	248.0	163.0
ENSG00000162873	3999	0.0	0.0	42.0	33.0
ENSG00000145919	3999	62.0	39.0	27.0	36.0
ENSG00000184792	4499	8.0	9.0	56.0	54.0
ENSG00000170873	3999	386.0	481.0	366.0	357.0
ENSG00000104320	11999	353.0	412.0	326.0	395.0
ENSG00000163125	10499	18.0	20.0	273.0	184.0
ENSG00000167693	16499	188.0	220.0	338.0	343.0
ENSG00000055332	6999	120.0	136.0	91.0	137.0
ENSG00000163935	4499	181.0	196.0	38.0	41.0
ENSG00000004487	10999	1000.0	743.0	726.0	935.0
ENSG00000164347	5999	724.0	887.0	966.0	1095.0
ENSG00000159792	19499	1062.0	928.0	1050.0	1025.0
ENSG00000267405	15999	28.0	27.0	364.0	313.0
ENSG00000256928	13999	225.0	124.0	280.0	335.0
ENSG00000144045	9499	14.0	9.0	119.0	135.0
ENSG00000249971	8499	684.0	469.0	1357.0	1607.0
ENSG00000231416	14499	2.0	1.0	292.0	201.0
ENSG00000253304	5999	290.0	260.0	126.0	201.0
