ID	Length	SRX9120574
ENSG00000155366	3999	1252.0
ENSG00000133318	5999	822.5
ENSG00000081307	8499	509.5
ENSG00000248866	4499	72.0
ENSG00000250615	9499	484.5
ENSG00000065268	3999	176.5
ENSG00000142937	4499	176.0
ENSG00000179091	6499	599.5
ENSG00000241399	10499	1793.0
ENSG00000160298	5999	62.0
ENSG00000260953	6499	162.0
ENSG00000141367	10499	1189.5
ENSG00000157216	9999	1350.0
ENSG00000266939	6499	210.5
ENSG00000175130	7499	3704.0
ENSG00000225975	5999	73.0
ENSG00000008853	3999	2466.5
ENSG00000231864	6999	1082.5
ENSG00000176761	5999	366.5
ENSG00000077616	10499	1673.0
ENSG00000115486	8999	11329.0
ENSG00000100479	6499	56.0
ENSG00000126561	8999	4314.5
ENSG00000265750	4499	283.0
ENSG00000166405	5999	550.0
ENSG00000176978	11499	1213.5
ENSG00000265306	3999	132.0
ENSG00000152767	7999	1771.5
ENSG00000228404	6499	1653.5
ENSG00000178188	3999	105.0
ENSG00000177370	4999	1477.0
ENSG00000132003	10499	321.5
ENSG00000131724	6999	406.0
ENSG00000163810	12499	950.5
ENSG00000259884	6999	124.5
ENSG00000267458	5999	7686.0
ENSG00000005884	6499	383.0
ENSG00000272072	7499	126.0
ENSG00000267030	3999	126.0
ENSG00000129128	9999	131.5
ENSG00000096384	5999	5698.5
ENSG00000159267	6999	177.0
ENSG00000187775	4999	135.0
ENSG00000204165	3999	105.5
ENSG00000114650	5999	990.0
ENSG00000248821	11999	144.0
ENSG00000236883	3999	375.5
ENSG00000226479	4499	1085.0
ENSG00000124713	5499	175.5
ENSG00000157077	6499	258.5
ENSG00000187260	4499	47.5
ENSG00000184661	8999	891.0
ENSG00000206880	8499	58.0
ENSG00000168259	9999	5620.5
ENSG00000139835	4499	2691.5
ENSG00000260796	4999	44.0
ENSG00000122515	5499	733.5
ENSG00000255252	4499	46.0
ENSG00000107185	7999	179.5
ENSG00000132153	5499	5862.0
ENSG00000270067	3999	46.0
ENSG00000100379	3999	54.5
ENSG00000082212	6499	204.0
ENSG00000233436	6499	1837.0
ENSG00000169495	7999	1123.0
ENSG00000158109	7499	511.0
ENSG00000261779	5999	467.5
ENSG00000237718	4499	655.5
ENSG00000196664	15999	581.0
ENSG00000001630	4499	391.5
ENSG00000130714	7999	634.5
ENSG00000267342	5499	494.0
ENSG00000182150	4499	131.5
ENSG00000153560	3999	284.5
ENSG00000198089	3999	415.0
ENSG00000161011	6999	422.0
ENSG00000258985	9499	499.5
ENSG00000269482	3999	29.0
ENSG00000088888	9499	4426.0
ENSG00000110721	11499	586.0
ENSG00000255874	5499	256.5
ENSG00000141527	6499	603.0
ENSG00000087086	4999	4941.0
ENSG00000168795	4999	306.0
ENSG00000226754	9499	940.0
ENSG00000053371	12499	944.0
ENSG00000173039	3999	241.5
ENSG00000155465	6499	1269.0
ENSG00000147912	8999	2111.5
ENSG00000234996	6499	630.0
ENSG00000204842	5999	1058.0
ENSG00000272478	6499	327.5
ENSG00000165516	3999	660.5
ENSG00000131153	22499	2016.5
ENSG00000106993	5499	914.5
ENSG00000103126	7499	518.5
ENSG00000164597	7999	613.0
ENSG00000185127	11499	1741.5
ENSG00000181924	4499	341.5
ENSG00000079134	3999	3726.5
ENSG00000141551	10499	3787.5
ENSG00000225302	5499	147.0
ENSG00000224505	4499	4286.5
ENSG00000021776	4499	390.0
ENSG00000234409	12999	1371.5
ENSG00000158863	3999	174.5
ENSG00000270094	9999	322.5
ENSG00000187595	3999	1021.0
ENSG00000169291	4999	108.0
ENSG00000127564	4999	354.0
ENSG00000137877	4999	44.5
ENSG00000257913	24499	1615.0
ENSG00000165905	5999	695.5
ENSG00000117859	4499	252.0
ENSG00000116062	8999	255.0
ENSG00000107581	5499	522.5
ENSG00000157388	4999	156.5
ENSG00000008710	15499	612.5
ENSG00000186577	9999	15542.0
ENSG00000170632	4499	481.0
ENSG00000267469	9999	3647.5
ENSG00000100296	7499	136.5
ENSG00000113758	8499	1456.0
ENSG00000271032	5499	225.5
ENSG00000006712	5999	2290.5
ENSG00000100147	6499	729.5
ENSG00000182319	3999	62.0
ENSG00000202343	7499	189.0
ENSG00000215146	5499	31.0
ENSG00000149679	4999	325.5
ENSG00000140854	4499	277.5
