ID	Length	SRX9120574	SRX9120575	SRX9120576	SRX9120577	SRX9120578	SRX9120579
ENSG00000152778	5499	26.0	19.0	14.0	24.0	42.0	94.5
ENSG00000069011	4999	173.0	163.5	107.0	74.5	341.5	523.0
ENSG00000161057	3999	22.5	26.5	44.0	45.5	14.5	30.5
ENSG00000154548	14999	1605.0	1939.0	802.5	779.0	1358.0	2351.0
ENSG00000081307	8999	510.0	557.0	268.0	256.0	108.5	123.5
ENSG00000252847	3999	2.0	0.5	32.5	26.0	21.0	9.5
ENSG00000248866	4499	72.0	73.5	28.5	29.5	31.0	50.0
ENSG00000179698	14499	2.5	2.5	262.5	247.0	28.5	43.5
ENSG00000189241	11499	191.5	144.0	191.5	150.0	493.5	733.0
ENSG00000128602	3999	109.0	86.0	84.0	78.0	8.5	6.5
ENSG00000201830	9499	16.5	34.0	29.5	41.5	371.0	524.0
ENSG00000270020	10499	229.0	297.5	169.0	164.0	63.5	143.5
ENSG00000256433	42999	81.5	95.0	1874.5	1994.0	112.0	139.0
ENSG00000260953	6499	162.0	161.5	166.0	195.0	71.0	134.5
ENSG00000141367	10499	1189.5	1333.5	777.5	733.5	636.0	1109.0
ENSG00000230424	7499	36.0	34.0	223.0	276.0	211.0	285.5
ENSG00000142871	34893	99.5	30.5	244.0	221.0	12219.0	18558.0
ENSG00000157216	9999	1350.0	1508.0	1942.0	1895.0	812.5	1054.0
ENSG00000254756	7999	635.0	799.0	306.0	267.0	152.5	276.0
ENSG00000226434	7499	19.5	21.5	24.5	25.0	64.5	113.5
ENSG00000175130	46999	3797.5	5010.5	11620.0	10807.5	7631.0	11187.0
ENSG00000260441	3999	20.5	51.5	88.5	67.5	26.5	43.5
ENSG00000114654	18999	1.0	1.5	347.5	381.5	6.0	2.0
ENSG00000180739	4499	75.5	75.0	62.0	53.0	30.0	40.0
ENSG00000176761	5999	366.5	427.0	174.0	142.0	23.0	60.5
ENSG00000115486	11999	11331.0	13798.0	7096.5	6784.5	7334.0	14633.5
ENSG00000176845	11999	69.0	51.0	601.0	586.5	85.5	135.5
ENSG00000163870	7499	129.0	93.0	335.5	295.5	31.0	49.0
ENSG00000186432	8999	30.5	38.5	131.0	138.0	8.5	7.0
ENSG00000251414	8999	167.0	185.5	538.5	475.5	526.0	897.0
ENSG00000100479	19999	1099.5	1199.5	1143.0	1000.5	3325.5	4931.0
ENSG00000271237	8499	5.5	6.5	166.5	148.0	172.0	244.0
ENSG00000166405	8499	561.0	665.5	776.5	807.5	376.5	721.5
ENSG00000107954	12999	396.5	519.0	273.0	284.0	59.0	159.5
ENSG00000117477	8499	378.0	448.0	261.5	223.5	70.5	114.0
ENSG00000265306	13999	136.0	169.0	639.5	616.0	652.5	1105.0
ENSG00000261008	11999	37.0	62.5	52.0	46.0	82.0	130.0
ENSG00000177370	10999	1513.0	1780.0	1308.5	1165.5	521.0	910.0
ENSG00000131724	11999	423.5	462.5	1098.0	883.5	192.0	187.5
ENSG00000158710	6999	1362.5	941.5	4521.5	3713.5	309.5	477.0
ENSG00000251874	10999	13.5	14.5	37.5	50.5	412.0	884.5
ENSG00000168564	20999	45.0	52.0	338.5	337.5	281.0	418.0
ENSG00000259884	7499	126.0	142.0	69.5	59.0	62.5	111.5
ENSG00000130748	5499	153.0	182.5	465.0	606.0	213.5	290.0
ENSG00000149483	4499	38.0	38.5	38.0	33.0	76.0	77.5
ENSG00000267458	9999	7702.0	8882.0	15530.5	15160.0	6921.5	10129.5
ENSG00000005884	6499	383.0	311.5	1386.0	1026.5	115.5	165.0
ENSG00000221060	42285	3145.5	3787.0	3833.5	3928.0	4052.0	6370.0
ENSG00000267030	15068	244.5	241.0	3760.5	3568.0	363.0	573.0
ENSG00000100211	7999	129.5	106.0	662.0	583.5	25.5	27.5
ENSG00000129128	9999	131.5	148.5	131.0	110.0	46.0	69.5
ENSG00000183196	4499	6.5	0.0	136.5	137.0	1.0	8.5
ENSG00000136159	6999	170.0	147.0	173.5	198.5	53.0	93.0
ENSG00000254943	5999	83.5	93.0	64.5	64.5	38.5	98.0
ENSG00000167232	17999	6.0	3.5	372.5	338.0	5.0	1.0
ENSG00000112981	5499	6.0	11.0	48.5	72.5	3.5	8.5
ENSG00000159267	6999	177.0	204.0	82.0	73.0	13.0	24.5
ENSG00000228175	5499	67.0	45.5	54.5	56.0	96.5	194.5
ENSG00000204165	4499	105.5	118.0	142.5	146.0	72.5	140.0
ENSG00000204533	9499	120.0	173.0	125.5	125.5	171.0	337.5
ENSG00000221038	7999	13.0	10.0	54.0	69.5	352.5	659.5
ENSG00000224037	3999	10.5	10.5	27.0	27.0	81.5	169.0
ENSG00000117394	11499	9.5	14.0	244.0	262.5	401.0	710.0
ENSG00000248821	12499	145.5	220.5	235.0	241.0	272.0	491.0
ENSG00000114650	5999	990.0	1169.0	1016.0	1042.5	228.5	425.0
ENSG00000034510	8999	2764.5	3012.0	12623.5	13970.0	13007.0	9519.0
ENSG00000236883	7999	431.0	462.5	536.0	474.5	107.5	312.0
ENSG00000273486	22499	69.0	81.5	430.5	504.5	233.5	385.0
ENSG00000266983	4999	3.5	3.0	116.5	100.0	3.0	10.0
ENSG00000187608	5499	205.5	166.5	402.5	378.5	140.5	189.0
ENSG00000226479	4499	1085.0	1231.0	307.5	334.5	545.0	1042.0
ENSG00000261337	17999	39.5	32.5	311.5	325.0	202.5	364.0
ENSG00000109971	6999	3146.0	3498.0	577.5	609.5	1003.0	1925.5
ENSG00000064490	6999	434.5	440.0	195.0	268.0	131.5	225.0
ENSG00000184661	8999	891.0	1067.5	460.0	364.5	33.5	60.0
ENSG00000222611	4999	186.0	222.5	131.0	104.0	69.0	157.5
ENSG00000183128	10999	0.0	1.0	148.5	166.0	7.5	3.5
ENSG00000168259	9999	5620.5	6642.0	10953.5	10538.5	2352.0	4161.5
ENSG00000131652	4499	23.5	13.5	68.5	67.0	1962.5	4061.0
ENSG00000238459	11499	22.5	37.0	154.0	114.0	471.5	832.0
ENSG00000260796	9499	53.0	88.0	389.0	436.0	485.5	702.5
ENSG00000255252	9999	542.0	684.0	1194.0	1242.0	1139.0	1839.5
ENSG00000188770	8999	6.5	10.0	20.0	28.0	78.5	140.5
ENSG00000185088	4999	64.5	99.5	174.5	182.0	87.5	191.0
ENSG00000102805	13999	830.5	1086.5	347.5	414.0	93.5	116.5
ENSG00000107185	8499	180.0	231.5	85.5	79.0	131.0	205.5
ENSG00000270846	4999	38.0	56.5	64.0	64.5	245.0	423.0
ENSG00000124688	32499	600.5	680.5	2543.5	2316.5	1659.5	2516.0
ENSG00000183624	8999	2053.0	2189.0	10231.0	8314.0	3454.5	5187.0
ENSG00000119314	3999	95.5	68.0	29.0	23.0	6.5	17.0
ENSG00000270067	29499	327.5	398.5	1034.5	1032.0	827.5	1467.5
ENSG00000100379	6499	56.0	65.0	141.5	120.0	81.0	156.5
ENSG00000196652	17999	600.0	697.0	2262.0	2087.5	1034.5	1607.0
ENSG00000100568	5499	50.0	65.0	121.0	125.0	20.0	22.0
ENSG00000165527	18499	5985.0	7518.0	506.5	496.0	2636.5	4374.0
ENSG00000142089	6999	3372.0	4206.0	10784.0	11163.5	5105.5	6263.5
ENSG00000108468	8999	982.5	971.5	5206.0	4107.0	147.5	223.0
ENSG00000169495	7999	1123.0	1285.0	2382.0	2353.5	995.5	1683.5
ENSG00000158109	7499	511.0	539.0	481.5	441.5	67.5	114.5
ENSG00000182310	10999	3.5	5.0	306.0	257.5	11.5	24.0
ENSG00000054523	16691	216.0	148.5	642.5	605.5	70.5	70.0
ENSG00000228830	8499	367.5	384.5	332.0	325.0	731.5	1172.5
ENSG00000136044	6999	798.0	970.5	181.5	167.0	78.5	85.5
ENSG00000250796	9499	137.0	149.5	471.5	460.0	181.0	323.5
ENSG00000237718	4499	655.5	728.5	208.0	169.0	46.5	102.5
ENSG00000196664	15999	581.0	749.0	170.0	179.5	141.0	259.5
ENSG00000135148	3999	59.0	52.0	162.0	115.5	4.0	4.5
ENSG00000130714	14499	635.5	713.0	852.5	899.5	454.5	735.5
ENSG00000001630	5499	396.5	410.5	164.5	111.5	72.5	41.0
ENSG00000267342	11499	654.0	726.5	1727.0	1615.0	1155.0	1872.5
ENSG00000159579	6499	238.0	238.0	1408.5	1296.5	226.0	387.0
ENSG00000260105	9499	1.0	0.0	594.0	605.0	10.0	7.5
ENSG00000153560	3999	284.5	286.0	122.5	84.0	67.5	116.0
ENSG00000113163	18499	3441.0	3991.0	1920.0	1802.0	445.5	782.0
ENSG00000213188	7999	528.0	713.5	378.0	353.5	191.5	231.0
ENSG00000161011	7499	423.0	411.5	4513.0	4439.5	595.0	1003.5
ENSG00000234159	14999	95.5	98.5	22.5	47.0	1023.0	1691.5
ENSG00000186628	11999	37.5	60.5	337.0	312.5	244.0	463.5
ENSG00000155760	6499	35.0	25.5	76.5	52.0	146.0	251.0
ENSG00000236255	4999	19.0	6.5	314.5	318.5	25.5	38.0
ENSG00000241370	4499	1.5	2.0	2.5	7.0	64.0	109.0
ENSG00000168274	5499	20.5	19.0	113.5	116.0	743.0	785.0
ENSG00000088888	19999	4501.5	5282.0	1419.0	1414.5	653.0	936.5
ENSG00000110721	11499	586.0	623.0	843.0	758.5	265.5	444.5
ENSG00000107404	10499	965.0	1075.0	1397.0	1341.0	983.5	1800.5
ENSG00000261266	20499	4214.0	5051.0	3348.0	3274.0	804.5	1321.0
ENSG00000164109	7499	47.5	52.0	112.0	144.0	37.5	53.5
ENSG00000246334	5999	185.5	292.5	197.0	209.5	184.5	349.0
ENSG00000236383	14499	2366.5	2703.5	2068.5	2141.0	491.0	604.0
ENSG00000087086	26499	5563.5	6437.5	17083.5	17865.0	19277.0	19004.0
ENSG00000267892	11999	5.0	8.0	350.0	367.5	17.0	17.0
ENSG00000173039	8999	474.0	462.5	348.0	315.5	235.0	414.5
ENSG00000053371	14499	955.0	1120.0	2580.5	2406.0	612.5	745.0
ENSG00000140829	4999	151.5	157.0	376.0	369.5	26.0	32.5
ENSG00000169026	6999	76.5	135.5	218.5	212.5	415.5	786.5
ENSG00000232811	9999	147.0	110.0	104.5	105.0	1790.0	2752.0
ENSG00000131238	5999	6817.5	8229.5	6853.0	7145.0	3601.5	4719.0
ENSG00000134809	5499	67.0	69.5	45.0	53.0	208.0	436.0
ENSG00000224621	27999	43.0	54.0	848.0	861.5	897.5	1459.5
ENSG00000135835	3999	17.0	27.5	105.5	81.5	4.0	7.0
ENSG00000259452	4999	0.0	2.5	1.5	2.5	62.0	79.5
ENSG00000099330	19999	3529.0	4126.0	1313.0	1293.5	1674.0	2966.5
ENSG00000160199	6999	33.5	31.5	122.5	125.0	1.0	7.0
ENSG00000163704	17999	357.5	467.0	1578.0	1532.0	491.0	950.5
ENSG00000252578	5999	0.0	6.0	26.5	37.0	385.0	568.5
ENSG00000165516	11499	785.5	920.5	280.5	360.5	93.0	126.0
ENSG00000225037	5999	17.0	9.5	48.5	54.0	273.0	492.5
ENSG00000131153	29999	2040.0	2525.5	2305.5	2222.5	277.5	540.5
ENSG00000106993	5499	914.5	1026.0	1117.5	1040.0	985.5	1236.0
ENSG00000164597	16495	747.5	773.0	502.5	482.5	100.5	209.0
ENSG00000105053	4499	47.5	50.0	129.0	137.0	11.5	30.5
ENSG00000185127	18999	1913.0	2329.0	2151.5	2279.0	3047.5	4260.0
ENSG00000125449	14999	2941.5	3513.0	5357.0	4997.5	2154.5	3104.5
ENSG00000272555	3999	0.0	0.0	67.5	65.5	1.0	1.0
ENSG00000080815	9999	31.0	39.0	156.5	154.0	4.5	7.5
ENSG00000116922	4999	66.0	50.0	64.5	43.5	76.0	154.5
ENSG00000100300	5999	3127.0	3496.0	4999.5	4949.5	1342.5	1614.0
ENSG00000258623	9499	36.5	18.0	41.5	53.5	348.5	720.5
ENSG00000234409	30999	2675.0	3322.5	4082.0	4246.5	3570.5	4759.5
ENSG00000250365	5499	124.5	137.0	55.0	60.0	199.0	230.5
ENSG00000177757	7499	38.5	32.0	79.0	90.0	637.0	1377.0
ENSG00000243649	6499	486.5	498.5	712.0	658.5	673.0	1012.5
ENSG00000169291	5499	108.5	88.5	217.0	245.5	24.0	30.0
ENSG00000177045	5999	54.5	29.0	124.5	103.0	46.5	64.5
ENSG00000168924	21999	801.0	1021.5	2787.5	2617.5	948.0	1591.5
ENSG00000137877	4999	44.5	63.0	99.0	70.5	12.0	14.0
ENSG00000167553	4999	3914.0	2508.5	1882.5	1316.0	403.5	706.0
ENSG00000181852	13499	115.5	157.5	303.0	304.5	42.0	41.5
ENSG00000260793	3999	4.5	10.5	87.0	74.0	35.5	67.5
ENSG00000165905	5999	695.5	886.0	881.5	842.0	67.0	100.0
ENSG00000116863	8999	74.5	58.5	137.5	118.5	231.0	467.0
ENSG00000132139	4999	905.0	1153.5	388.5	381.5	138.0	270.5
ENSG00000236499	27999	26.5	34.0	889.0	836.0	34.5	62.0
ENSG00000260276	4499	28.5	32.5	89.0	71.0	28.5	46.0
ENSG00000234465	11999	1122.5	1358.5	2452.0	2286.0	1983.5	3680.5
ENSG00000116062	9499	256.5	320.5	266.5	246.0	104.5	154.5
ENSG00000107581	7499	524.5	677.0	173.5	160.5	638.0	1139.0
ENSG00000142279	6499	9.5	22.0	73.0	83.5	27.0	40.0
ENSG00000157388	4999	156.5	177.5	47.0	73.0	19.5	44.0
ENSG00000245694	5499	65.0	83.0	92.5	104.5	202.5	235.0
ENSG00000186577	24999	15546.5	20341.5	53582.5	58776.5	34907.5	55939.0
ENSG00000008710	19499	621.0	766.0	1933.5	1813.5	434.5	904.0
ENSG00000170632	18499	498.5	570.0	769.0	726.0	37.5	83.5
ENSG00000148300	11999	122.5	98.0	346.0	285.0	275.0	569.5
ENSG00000105618	5999	223.5	280.0	621.0	654.5	213.0	325.5
ENSG00000006114	8999	939.0	987.5	1195.5	1127.0	124.5	240.5
ENSG00000120129	4499	168.0	127.5	163.5	131.5	302.0	483.5
ENSG00000100296	7499	136.5	165.5	121.0	125.5	29.5	39.0
ENSG00000267447	4999	470.0	612.5	367.0	428.5	218.0	320.5
ENSG00000150403	5499	93.5	81.0	339.5	276.0	11.5	8.5
ENSG00000171824	6499	117.0	141.0	264.0	270.0	664.5	923.5
ENSG00000224985	4999	73.0	80.5	69.5	85.0	75.0	85.5
ENSG00000229539	25499	6440.0	7396.0	1965.0	2012.5	694.5	1120.5
ENSG00000142235	7499	1028.5	1197.5	2433.5	2380.0	993.0	2019.0
ENSG00000100147	6499	729.5	854.0	863.0	810.5	244.5	544.0
ENSG00000202343	22999	199.0	228.0	833.5	813.0	114.0	138.5
ENSG00000182319	4499	63.0	71.5	63.0	77.0	10.5	16.0
ENSG00000111639	7999	527.0	434.0	969.0	1035.5	2396.0	3210.0
ENSG00000196176	15499	63.0	106.5	1051.0	1015.0	3523.5	5286.0
ENSG00000206805	11999	3.5	11.5	44.5	34.0	123.0	207.5
ENSG00000146109	7499	20.0	25.5	45.5	49.0	593.5	828.5
ENSG00000164742	6999	227.5	239.5	296.0	265.5	72.5	48.0
ENSG00000044115	13499	780.0	809.5	1441.5	1138.0	450.5	841.5
ENSG00000257303	5999	418.0	515.0	888.0	896.0	404.5	650.5
ENSG00000272086	6499	10.0	12.0	133.5	95.5	407.0	542.0
ENSG00000212624	4999	1.5	1.0	73.5	63.0	85.0	182.0
ENSG00000173545	9999	28.0	24.5	269.0	311.5	116.5	208.0
ENSG00000155287	3999	80.0	77.0	225.5	163.5	52.0	70.5
ENSG00000238874	8499	0.0	0.5	137.0	117.5	2.0	3.5
ENSG00000138600	5499	411.5	538.0	88.0	99.0	89.0	93.5
ENSG00000170037	15203	5.0	8.5	315.5	303.0	43.0	50.0
ENSG00000186714	8999	985.5	1161.0	213.5	243.5	267.5	294.0
ENSG00000088766	26499	16.5	7.0	3240.5	3178.5	50.5	86.0
ENSG00000180096	4499	12.0	11.5	117.0	111.0	60.0	115.5
ENSG00000100196	12999	7563.5	9606.0	6288.5	5913.5	890.0	1606.0
ENSG00000222548	13499	96.5	96.5	232.5	220.0	590.0	868.0
ENSG00000125148	7499	1018.5	1001.0	563.0	616.0	2829.5	2160.0
ENSG00000196966	13638	73.0	90.0	255.5	295.0	322.0	534.0
ENSG00000270802	13499	60.0	79.0	121.0	140.0	298.0	397.5
ENSG00000261757	7999	95.5	131.0	170.5	150.5	14.0	43.0
ENSG00000262136	16999	17275.0	19506.0	9698.0	9649.0	4776.5	9103.0
ENSG00000253047	20499	221.0	274.0	1174.5	1068.5	1617.5	2623.0
ENSG00000130751	5999	448.0	550.5	1543.0	1717.5	946.5	1155.0
ENSG00000122965	9999	91.0	146.0	119.5	106.5	20.0	37.5
ENSG00000230532	11999	70.5	83.0	240.5	228.0	553.5	812.0
