ID	Length	SRX6637059
ENSG00000251003	5499	42.0
ENSG00000251455	20999	475.0
ENSG00000161057	3999	43.0
ENSG00000259618	15499	659.0
ENSG00000138443	5499	54.0
ENSG00000188931	3999	508.0
ENSG00000081307	5499	99.0
ENSG00000248866	4499	42.0
ENSG00000198780	8999	1423.0
ENSG00000167380	7499	84.0
ENSG00000189241	6499	188.0
ENSG00000169714	5499	176.0
ENSG00000266462	3999	254.0
ENSG00000179091	6499	987.0
ENSG00000241399	4999	342.0
ENSG00000141367	10499	583.0
ENSG00000230424	6499	203.0
ENSG00000157216	4999	245.0
ENSG00000266939	5999	327.0
ENSG00000175130	7499	612.0
ENSG00000225975	7999	197.0
ENSG00000049860	4499	72.0
ENSG00000196597	3999	38.0
ENSG00000256804	4999	121.0
ENSG00000008853	4499	1133.0
ENSG00000115486	5999	7687.0
ENSG00000186432	8999	699.0
ENSG00000251414	3999	99.0
ENSG00000176845	5499	447.0
ENSG00000100479	10999	497.0
ENSG00000188342	16999	330.0
ENSG00000265750	5499	94.0
ENSG00000171469	9499	186.0
ENSG00000117477	14499	1266.0
ENSG00000144580	6499	85.0
ENSG00000228404	5999	525.0
ENSG00000249951	23499	722.0
ENSG00000177370	10999	683.0
ENSG00000131724	4999	51.0
ENSG00000163810	11999	682.0
ENSG00000247077	5999	513.0
ENSG00000253944	3999	343.0
ENSG00000058673	3999	108.0
ENSG00000267458	5499	13811.0
ENSG00000149483	23999	638.0
ENSG00000005884	4499	162.0
ENSG00000221060	38999	3676.0
ENSG00000267030	10499	902.0
ENSG00000175220	4999	908.0
ENSG00000167232	10999	285.0
ENSG00000187775	6999	330.0
ENSG00000244073	22999	424.0
ENSG00000239719	5499	124.0
ENSG00000114650	8999	1230.0
ENSG00000226479	3999	438.0
ENSG00000170561	3999	318.0
ENSG00000261337	3999	78.0
ENSG00000124713	18499	1049.0
ENSG00000157077	6499	256.0
ENSG00000170581	3999	272.0
ENSG00000201469	7999	623.0
ENSG00000259178	4499	65.0
ENSG00000168259	16999	1419.0
ENSG00000139835	3999	804.0
ENSG00000122515	5999	280.0
ENSG00000102805	16499	391.0
ENSG00000163607	3999	112.0
ENSG00000162006	7499	2398.0
ENSG00000266072	17499	546.0
ENSG00000132153	5499	1591.0
ENSG00000270067	27369	950.0
ENSG00000159259	3999	41.0
ENSG00000196652	14499	455.0
ENSG00000149179	4499	377.0
ENSG00000100568	23999	595.0
ENSG00000263182	12999	241.0
ENSG00000233436	11999	924.0
ENSG00000238596	7499	159.0
ENSG00000182310	4499	60.0
ENSG00000054523	15999	526.0
ENSG00000226261	5499	142.0
ENSG00000227741	7499	256.0
ENSG00000135148	20499	729.0
ENSG00000108576	4499	54.0
ENSG00000267342	4999	188.0
ENSG00000159579	4499	193.0
ENSG00000143322	29499	1514.0
ENSG00000198089	4499	293.0
ENSG00000161011	7499	2537.0
ENSG00000124172	7499	103.0
ENSG00000104450	28999	655.0
ENSG00000133026	7999	1268.0
ENSG00000145390	7499	417.0
ENSG00000088888	8499	784.0
ENSG00000110721	3999	276.0
ENSG00000252357	4499	89.0
ENSG00000107404	9499	303.0
ENSG00000123607	10999	633.0
ENSG00000236383	7499	491.0
ENSG00000226754	4499	204.0
ENSG00000053371	10999	557.0
ENSG00000260359	8499	203.0
ENSG00000140829	4499	56.0
ENSG00000169026	6999	123.0
ENSG00000131238	7499	3579.0
ENSG00000215712	7499	116.0
ENSG00000224621	13499	530.0
ENSG00000147912	10499	619.0
ENSG00000135835	5499	206.0
ENSG00000132485	14999	456.0
ENSG00000123636	3999	228.0
ENSG00000240303	3999	59.0
ENSG00000234996	5999	348.0
ENSG00000204842	20499	352.0
ENSG00000165516	4999	229.0
ENSG00000131153	3999	115.0
ENSG00000162994	4499	89.0
ENSG00000178028	8999	567.0
ENSG00000254479	4499	102.0
ENSG00000237513	8499	356.0
ENSG00000164597	18499	411.0
ENSG00000185127	3999	126.0
ENSG00000181924	9499	198.0
ENSG00000079134	4499	503.0
ENSG00000173548	5999	93.0
ENSG00000080815	9499	360.0
ENSG00000224505	4499	4233.0
ENSG00000229659	7999	146.0
ENSG00000237310	11499	194.0
ENSG00000145439	3999	59.0
ENSG00000270094	4499	85.0
ENSG00000188313	21999	858.0
ENSG00000169291	4999	268.0
ENSG00000251474	5499	136.0
ENSG00000137877	4499	148.0
ENSG00000168924	10999	711.0
ENSG00000257913	4499	696.0
ENSG00000117859	4499	1290.0
ENSG00000260276	8499	364.0
ENSG00000107581	4999	168.0
ENSG00000143498	4999	131.0
ENSG00000263235	5499	72.0
ENSG00000198561	17999	907.0
ENSG00000008710	14999	923.0
ENSG00000170632	16499	499.0
ENSG00000105618	5999	87.0
ENSG00000120129	4499	62.0
ENSG00000113758	8499	250.0
ENSG00000006712	5999	2074.0
ENSG00000229539	4499	103.0
ENSG00000100147	5999	201.0
ENSG00000182319	3999	54.0
ENSG00000202343	7999	164.0
ENSG00000182685	3999	575.0
ENSG00000126012	26499	648.0
ENSG00000104960	6999	423.0
ENSG00000207590	5499	151.0
ENSG00000263657	4499	95.0
ENSG00000063245	5999	514.0
ENSG00000138600	4999	265.0
ENSG00000088766	15499	969.0
ENSG00000100196	12999	5020.0
ENSG00000125148	5499	137.0
ENSG00000233196	12499	610.0
ENSG00000270802	36499	3092.0
ENSG00000261757	7499	140.0
ENSG00000253047	5999	521.0
ENSG00000230532	3999	90.0
ENSG00000197958	4499	171.0
ENSG00000130270	3999	86.0
ENSG00000158805	4499	111.0
ENSG00000125814	4999	122.0
ENSG00000148841	5999	87.0
ENSG00000240889	4999	68.0
ENSG00000132612	13999	865.0
ENSG00000138107	12499	687.0
ENSG00000163481	3999	401.0
ENSG00000220785	6499	2127.0
ENSG00000176142	16999	1311.0
ENSG00000267007	5999	918.0
ENSG00000141759	8499	626.0
ENSG00000180979	9499	274.0
ENSG00000113522	11499	1115.0
ENSG00000140749	3999	37.0
ENSG00000160781	24499	1766.0
ENSG00000239615	4999	47.0
ENSG00000176358	10999	322.0
ENSG00000138111	5499	742.0
ENSG00000007312	4499	48.0
ENSG00000139597	10499	242.0
ENSG00000201920	7999	1005.0
ENSG00000077312	6999	430.0
ENSG00000172638	3999	181.0
ENSG00000196357	7499	111.0
ENSG00000105135	3999	53.0
ENSG00000219329	4999	51.0
ENSG00000063046	4499	53.0
ENSG00000026036	8499	1250.0
ENSG00000160193	6499	325.0
ENSG00000132275	18999	357.0
ENSG00000136436	8499	214.0
ENSG00000141027	28999	1967.0
ENSG00000269987	7999	1704.0
ENSG00000100711	4499	689.0
ENSG00000225610	4999	119.0
ENSG00000224138	7999	447.0
ENSG00000167778	6499	131.0
ENSG00000177946	7999	256.0
ENSG00000186063	16499	1221.0
ENSG00000136908	3999	149.0
ENSG00000096080	9499	263.0
ENSG00000242748	7999	168.0
ENSG00000264044	4999	266.0
ENSG00000214900	4499	50.0
ENSG00000101294	11499	1018.0
ENSG00000180376	4499	171.0
ENSG00000265490	4999	109.0
ENSG00000254131	3999	73.0
ENSG00000240882	6499	120.0
ENSG00000249042	8499	251.0
ENSG00000114021	18999	829.0
ENSG00000205664	6499	292.0
ENSG00000154553	4499	26.0
ENSG00000077380	8999	272.0
ENSG00000231691	11999	317.0
ENSG00000236830	4999	135.0
ENSG00000153975	10499	304.0
ENSG00000266566	17999	464.0
ENSG00000250261	18999	2100.0
ENSG00000130741	8499	582.0
ENSG00000116459	15999	590.0
ENSG00000270084	3999	2129.0
ENSG00000123353	6999	578.0
ENSG00000048405	15499	804.0
ENSG00000230280	4499	87.0
ENSG00000257410	8999	478.0
ENSG00000114841	9499	780.0
ENSG00000254907	3999	90.0
ENSG00000196152	5999	14860.0
ENSG00000143799	5499	71.0
ENSG00000139190	10499	4315.0
ENSG00000230739	3999	39.0
ENSG00000148291	13999	5943.0
ENSG00000115419	11499	690.0
ENSG00000119403	4499	122.0
ENSG00000125885	5999	212.0
ENSG00000240494	5999	269.0
ENSG00000113712	43999	3931.0
ENSG00000136122	8499	633.0
ENSG00000132199	6499	479.0
ENSG00000090581	5999	89.0
ENSG00000182118	29499	1512.0
ENSG00000160957	5499	362.0
ENSG00000164733	12999	1184.0
ENSG00000254741	16999	4752.0
ENSG00000253559	10499	405.0
ENSG00000231302	4499	51.0
ENSG00000138592	21999	643.0
ENSG00000100603	9499	749.0
ENSG00000145386	5499	194.0
ENSG00000204308	5499	167.0
ENSG00000134186	14999	354.0
ENSG00000119616	3999	63.0
ENSG00000233148	5999	114.0
ENSG00000119318	25499	923.0
ENSG00000117616	15999	1310.0
ENSG00000088808	7499	197.0
ENSG00000249737	3999	92.0
ENSG00000088256	6499	454.0
ENSG00000087274	4499	1395.0
ENSG00000217644	6499	221.0
ENSG00000243960	5499	137.0
ENSG00000185722	10999	349.0
ENSG00000197102	6499	615.0
ENSG00000034677	20499	842.0
ENSG00000151694	15999	603.0
ENSG00000254418	11999	965.0
ENSG00000116133	4499	45.0
ENSG00000123146	5499	596.0
ENSG00000257579	4499	84.0
ENSG00000188107	3999	30.0
ENSG00000175305	8499	171.0
